Item,Category,New Item,Licensed,Retail Price,Unit Cost,GM Rate,Full-Price Sell-Through,Star Rating,Num Reviews,Store Units,Online Units,Store Share,Online Share,Channel Mult (in-store),Channel Mult (online),Category Mult,Category Mult Label
12 ft Giant Skeleton,Giants & Animatronics,False,False,299.0,126.0,0.5677900694623103,0.95,4.5,1200.0,18000.0,22000.0,0.45,0.55,0.9,1.1,1.0,hero
9 ft Animated Pirate Ship,Giants & Animatronics,False,False,399.0,184.0,0.4235588972431077,0.6,4.3,95.0,2700.0,6300.0,0.3,0.7,0.6,1.4,1.0,hero
7 ft Animated Reaper,Giants & Animatronics,False,False,279.0,107.0,0.5853918434563596,0.85,4.6,265.0,6000.0,6000.0,0.5,0.5,1.0,1.0,1.0,hero
5.5 ft LED Skeleton Pony,Giants & Animatronics,False,False,129.0,42.0,0.6382428940568475,0.8,4.1,100.0,7700.0,6300.0,0.55,0.45,1.1,0.9,1.0,hero
10.5 ft Licensed Character Inflatable,Inflatables,False,True,149.0,132.0,0.04226374025031743,0.85,4.8,220.0,3200.0,4800.0,0.4,0.6,0.8,1.2,0.85,licensed
9.5 ft Licensed Sandworm Inflatable,Inflatables,False,True,269.0,160.0,0.339116067740603,0.8,4.7,205.0,1750.0,3250.0,0.35,0.65,0.7,1.3,0.85,licensed
12 ft Reaper Inflatable,Inflatables,False,False,119.0,87.0,0.02521008403361345,0.5,4.8,75.0,2700.0,3300.0,0.45,0.55,0.9,1.1,0.95,inflatable_mid
6 ft Scarecrow Inflatable,Inflatables,False,False,59.0,35.0,0.358680714612918,0.85,4.6,60.0,13000.0,7000.0,0.65,0.35,1.3,0.7,0.95,inflatable_mid
24 in Metal Tombstone,Decor & Accessories,False,False,24.98,4.25,0.8109598790143225,0.8,5.0,6.0,21000.0,9000.0,0.7,0.3,1.4,0.6,1.2,high_impulse_margin
5 ft Skeleton Tombstone,Decor & Accessories,False,False,149.0,52.0,0.6122296793437733,0.8,4.8,10.0,3150.0,3850.0,0.45,0.55,0.9,1.1,1.1,impulse_accessory
LED Fog Machine,Decor & Accessories,False,False,59.0,37.0,0.04982023626091422,0.32,4.2,3400.0,15000.0,10000.0,0.6,0.4,1.2,0.8,1.1,impulse_accessory
Pathway Light Set (6-piece),Decor & Accessories,False,False,34.98,12.0,0.6291317046034026,0.85,4.4,480.0,12600.0,5400.0,0.7,0.3,1.4,0.6,1.1,impulse_accessory
16 ft Inflatable Haunted Archway,Inflatables,False,False,199.0,95.0,0.4839060165693331,0.85,4.6,340.0,0.0,6000.0,0.0,1.0,1.0,1.0,0.95,inflatable_mid
Life-Size Animated Butler,Giants & Animatronics,False,False,399.0,150.0,0.6042738425009894,0.9,4.7,210.0,0.0,4000.0,0.0,1.0,1.0,1.0,1.0,hero
Animated Witch Cauldron,Decor & Accessories,False,False,79.0,30.0,0.5894628806021212,0.85,4.5,180.0,0.0,5000.0,0.0,1.0,1.0,1.0,1.1,impulse_accessory
Halloween Doormat Assortment,Decor & Accessories,False,False,19.98,12.0,0.1715853784819302,0.45,4.0,55.0,0.0,9000.0,0.0,1.0,1.0,1.0,1.1,impulse_accessory
14 ft Giant Animated Dragon,Giants & Animatronics,True,False,449.0,240.0,0.4654788418708241,0.7,,,,,,,1.0,1.0,1.0,hero
6 ft Licensed Movie Villain,Giants & Animatronics,True,True,329.0,215.0,0.3465045592705167,0.65,,,,,,,1.0,1.0,0.85,licensed
9 ft Licensed Franchise Inflatable,Inflatables,True,True,159.0,138.0,0.1320754716981132,0.6,,,,,,,1.0,1.0,0.85,licensed
7 ft Licensed Sitcom Character,Giants & Animatronics,True,True,279.0,164.0,0.4121863799283154,0.7,,,,,,,1.0,1.0,0.85,licensed
8 ft Inflatable Black Cat,Inflatables,True,False,79.0,40.0,0.4936708860759494,0.7,,,,,,,1.0,1.0,0.95,inflatable_mid
12 ft Inflatable Haunted Tree,Inflatables,True,False,179.0,88.0,0.5083798882681564,0.55,,,,,,,1.0,1.0,0.95,inflatable_mid
Fog Machine w/ Bluetooth Sound,Decor & Accessories,True,False,89.0,52.0,0.4157303370786517,0.55,,,,,,,1.0,1.0,1.1,impulse_accessory
Animated Talking Portrait,Decor & Accessories,True,False,39.98,7.0,0.824912456228114,0.825,,,,,,,1.0,1.0,1.2,high_impulse_margin
Solar Pathway Ghosts (4-pc),Decor & Accessories,True,False,44.98,16.0,0.6442863494886616,0.75,,,,,,,1.0,1.0,1.1,impulse_accessory
24 in Light-Up Pumpkin Stack,Decor & Accessories,True,False,29.98,9.0,0.6997998665777185,0.78,,,,,,,1.0,1.0,1.2,high_impulse_margin
