Impulse Share,Config,Conversion Rate,Avg Items / Customer,Profit per Facing,Combined Total Profit,% vs Baseline @ 30% Impulse
0.1,A - Current (Baseline),0.5877,0.9218,50864.66369406119,1141498.360866886,-16.9332195978804
0.1,B - High-Margin Focus,0.6116,0.9836,43244.30258806884,1042910.5853635822,-29.377986094001507
0.1,C - Scenario 2 (Recommended),0.6141,0.9831,57442.37091014091,1237686.112371643,-6.191204981329889
0.2,A - Current (Baseline),0.616,1.0234,56199.51108714484,1260776.040252021,-8.22091198201701
0.2,B - High-Margin Focus,0.6398,1.0857,47724.32144635019,1153982.0279211195,-22.061693885002555
0.2,C - Scenario 2 (Recommended),0.6408,1.0885,63570.47108483483,1368691.2841567884,3.816559044305934
0.3,A - Current (Baseline),0.6439,1.1184,61233.45993167118,1376962.0258699998,0.0
0.3,B - High-Margin Focus,0.6647,1.1893,52256.67471153846,1261971.434075938,-14.65993466668336
0.3,C - Scenario 2 (Recommended),0.6638,1.1912,69246.35559049435,1495676.8501875966,13.085812344696102
0.4,A - Current (Baseline),0.6693,1.2123,66102.18136555262,1491264.6446104057,7.951080078300854
0.4,B - High-Margin Focus,0.6896,1.2909,56736.97275814276,1365250.7590093738,-7.343186516891153
0.4,C - Scenario 2 (Recommended),0.6912,1.3004,75424.29683616308,1628740.5644568454,23.174971527539157
0.5,A - Current (Baseline),0.6948,1.3055,70920.60073675949,1603681.173434299,15.820012156585527
0.5,B - High-Margin Focus,0.7152,1.3899,61135.05353950104,1466467.0131042784,-0.16070689502104551
0.5,C - Scenario 2 (Recommended),0.718,1.4043,81549.9041611804,1763379.7240468808,33.178664495162955
0.6,A - Current (Baseline),0.7237,1.4036,76225.75694263319,1723088.3738613531,24.483831270830557
0.6,B - High-Margin Focus,0.7385,1.4897,65598.45597222222,1571561.6582867077,7.128449128012404
0.6,C - Scenario 2 (Recommended),0.7438,1.5088,87666.29005024255,1898606.4274326148,43.167297990456646
0.7,A - Current (Baseline),0.7496,1.5006,81625.2724077049,1846775.0144422464,33.30174793125917
0.7,B - High-Margin Focus,0.7634,1.5918,70031.10982386232,1678108.555190332,14.367389825772058
0.7,C - Scenario 2 (Recommended),0.772,1.6106,93374.269011319,2023082.9784343047,52.48896455551084
